Model,k,NLL,AIC,BIC
mu,4,195.953858065539,399.907716131078,409.123976503895
mu_sig,5,195.58418053418,401.16836106836,412.688686534381
mu_xi,5,195.728050950413,401.456101900826,412.976427366847
mu_sig_xi,6,195.565307969538,403.130615939077,416.955006498302
xi,4,198.191390954506,404.382781909012,413.599042281828
stat,3,199.525538425787,405.051076851573,411.963272131186
sig,4,198.815247607325,405.630495214651,414.846755587468
sig_xi,5,198.184463025567,406.368926051135,417.889251517155
