Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,24.8798137704807,28.030467995978,29.8875121887851,31.5148444679531,33.4183098689678,30.3329826872773,36.5036370506583,1.57417544711391
mu_sig,24.8219420251937,27.6120967491132,29.2433041805024,30.6637360541973,32.3135081629575,28.9934381865714,35.6335781393437,1.69394437988373
mu_sig_xi,24.8864581053626,27.6693693177861,29.2645585956454,30.6325762886996,32.1946027077993,28.8946768269074,35.4945285886912,1.683666591285
mu_xi,25.0484085357427,27.9773918956967,29.5978453586087,30.9499851482715,32.4474239720264,29.2533216034247,35.6415263406281,1.62967401125551
sig,26.3391464350621,28.9952698090921,30.5096890045446,31.8030957822912,33.2731491913995,29.547870783266,36.998427599533,1.90068717462057
sig_xi,26.5571901417609,29.2758490338019,30.6447460579141,31.7071084809969,32.7924712848613,30.2894208556103,35.2955217141124,1.27709001236491
stat,26.6428553552728,29.9787210491987,31.9849728152359,33.7707523093929,35.8963817317318,33.0752118164804,38.7175516469833,1.43939885503227
xi,26.535727380784,29.2288685463694,30.5960130174362,31.6636741331622,32.7620549517013,30.3073483795129,35.2167615238898,1.25242432593191
