Year,RP,RL
1960,2,30.0386244441442
1960,5,31.6902042379066
1960,10,32.5526002972419
1960,20,33.2408434152949
1960,50,33.9661570446703
1990,2,31.7817132513503
1990,5,33.4332930451128
1990,10,34.2956891044481
1990,20,34.983932222501
1990,50,35.7092458518764
2024,2,33.7572138995173
2024,5,35.4087936932797
2024,10,36.271189752615
2024,20,36.959432870668
2024,50,37.6847465000434
