Model,k,NLL,AIC,BIC
mu,4,153.204682201438,314.409364402875,323.67931685702
mu_sig,5,152.952563854471,315.905127708942,327.492568276624
mu_xi,5,153.104352340385,316.20870468077,327.796145248452
mu_sig_xi,6,152.952070557006,317.904141114013,331.809069795231
xi,4,165.376893921543,338.753787843086,348.023740297231
sig,4,165.873628446164,339.747256892328,349.017209346473
sig_xi,5,165.34927533527,340.69855067054,352.285991238221
stat,3,167.356643453085,340.713286906171,347.66575124678
