Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,33.7572138995173,35.4087936932797,36.271189752615,36.959432870668,37.6847465000434,36.4455000427029,38.9239929573838,0.632280218981311
mu_sig,33.7677679655361,35.2744825203231,36.0598136536225,36.6856832595798,37.3442444373478,35.9975681731082,38.6909207015875,0.687092352136078
mu_sig_xi,33.7600910807118,35.2671976273036,36.0558137994798,36.6861964872268,37.3517309483419,35.9053004835065,38.7981614131773,0.737988287664808
mu_xi,33.8385497993005,35.4198142631081,36.2079527734423,36.8148491917385,37.4295359402085,36.0791600741248,38.7799118062921,0.688979938782156
sig,31.6388574568174,34.111043647253,35.2473969117979,36.0698586175593,36.8476105649651,35.8280470826078,37.8671740473223,0.520195008887616
sig_xi,31.7297435061599,33.913476384204,35.0937954590228,36.0611346041665,37.1111829641453,35.1528059300087,39.0695599982818,0.999190316548645
stat,31.6293137535635,33.6202843877884,34.6391070474143,35.4396586441868,36.2688919686808,35.3714974908933,37.1662864464683,0.457862738737037
xi,31.743034874666,33.8424138834811,35.0304628598513,36.039268200758,37.17846180183,35.0154427565399,39.3414808471201,1.10360142449133
