Model,k,NLL,AIC,BIC
mu,4,198.957654189839,405.915308379678,415.185260833823
mu_sig,5,198.521662610085,407.043325220169,418.630765787851
mu_xi,5,198.940087214591,407.880174429183,419.467614996864
mu_sig_xi,6,198.474999801096,408.949999602191,422.854928283409
stat,3,203.136711482835,412.27342296567,419.225887306279
xi,4,202.907125600621,413.814251201242,423.084203655387
sig,4,203.135215739956,414.270431479913,423.540383934058
sig_xi,5,202.862408132386,415.724816264773,427.312256832454
