Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,-8.4224763564242,-11.6064504283427,-13.5015238017646,-15.1747804408167,-17.1485711474474,-20.1333998591192,-14.1637424357756,1.52289977531003
mu_sig,-8.07325815036333,-10.7782784316769,-12.3889136707954,-13.811457506079,-15.4900749508826,-19.4314065674154,-11.5487433343497,2.01092042895766
mu_sig_xi,-7.99318471306527,-10.7113407077151,-12.3815542273883,-13.893201249756,-15.7263968410387,-20.3313046487905,-11.1214890332868,2.34948593141241
mu_xi,-8.43372389451194,-11.5501132129859,-13.3661146959792,-14.9434737047096,-16.7703476960928,-21.372290484647,-12.1684049075387,2.34797313871769
sig,-10.1904392507991,-13.5123858930288,-15.4750333276827,-17.1980640331864,-19.2176035102325,-25.16028907624,-13.2749179442251,3.03203814604892
sig_xi,-10.3022670864653,-13.453383205232,-15.1418086737421,-16.5163143635009,-17.9972350368466,-22.7028264989432,-13.2916435747499,2.40085608675147
stat,-10.2113703660173,-13.5712725016344,-15.5611812803241,-17.3114431270903,-19.3672299470357,-22.0658582155579,-16.6686016785136,1.37687645783727
xi,-10.1950872942529,-13.239609603902,-14.8953446574925,-16.2587655220141,-17.7465998632151,-21.923598861575,-13.5696008648552,2.13116109852404
