Parameter,Estimate,lower,upper
mu0,9.12700066564417,,
mu1,-1.21706424757432,,
sigma0,3.13016217432928,,
sigma1,-0.323532136878089,,
xi0,-0.120956694833615,,
xi1,0.024686757447702,,
