Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,18.6498429518441,20.4855001519538,21.5479506181111,22.4659476961025,23.5229368778562,21.7969935694517,25.2488801862608,0.880599501837058
mu_sig,18.5482773970509,20.2088391183907,21.1760930568733,22.0159711452876,22.9883588136679,20.7505758582879,25.226141769048,1.14174697751153
mu_sig_xi,18.4005799356206,20.1540514084776,21.3423201892316,22.5030301630491,24.0364379500414,18.3744168409195,29.6984590591633,2.88883936326546
mu_xi,18.6349770010128,20.5363161832816,21.6818476222782,22.7028981769298,23.9201369933139,18.8941747673428,28.946099219285,2.56431356168545
sig,20.5549997906436,22.1204122702985,22.8938130015793,23.4853548712345,24.0800198780684,20.9638395983278,27.196200157809,1.58991711292689
sig_xi,20.6647948818285,22.1728888398737,22.8644500236604,23.3640779418817,23.8356005933635,21.1711448217084,26.5000563650187,1.35944119007901
stat,21.1430346874236,23.3759534957542,24.5866807609822,25.5813631381802,26.664028174948,25.2550578286124,28.0729985212835,0.718875631108189
xi,21.129487991024,22.8295375735421,23.5481916332047,24.0361938617999,24.4662876966559,20.803712907733,28.1288624855788,1.86869494430144
