Model,k,NLL,AIC,BIC
mu,4,160.848990087822,329.697980175643,339.020913536788
mu_sig,5,160.662137527273,331.324275054546,342.977941755978
mu_xi,5,160.831687308598,331.663374617196,343.317041318628
mu_sig_xi,6,160.469319889752,332.938639779504,346.923039821222
stat,3,177.399325448752,360.798650897504,367.790850918363
sig,4,176.706756651391,361.413513302781,370.736446663927
xi,4,177.095788629759,362.191577259519,371.514510620664
sig_xi,5,176.639588528623,363.279177057246,374.932843758677
