Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,-6.26350388585289,-9.40524868998651,-11.4764171065792,-13.4564653492106,-16.009777241636,-19.7122170734487,-12.3073374098232,1.88903462564473
mu_sig,-5.80828022957255,-8.39675587412561,-10.0985077647947,-11.7219108137299,-13.8102918789112,-18.7761662419947,-8.84441751582773,2.53365592544234
mu_sig_xi,-5.7867825132363,-8.39691375321786,-10.1386555708056,-11.8196372083317,-14.0105152212781,-20.1832124610512,-7.83781798150511,3.14939319725387
mu_xi,-6.26800015360736,-9.33741954995366,-11.3140890856083,-13.169618085465,-15.5138346732112,-22.0907340058408,-8.93693534058159,3.3556225443464
sig,-8.01231635554136,-11.7148038956206,-14.1635403430085,-16.5104583474242,-19.5454429168522,-26.8839292772487,-12.2069565564557,3.74419449453232
sig_xi,-8.01477131069247,-11.3037391293012,-13.237252834308,-14.9281715734521,-16.9015463846722,-23.7479308196809,-10.0551619496634,3.49311747002097
stat,-7.81111462222105,-11.1156125585161,-13.2493004326456,-15.2563528579566,-17.7978638245262,-21.2204018825161,-14.3753257665363,1.74622497402322
xi,-7.7996860758895,-10.7941480026238,-12.5755765012923,-14.1479094133945,-16.0018835400919,-21.2549349625896,-10.7488321175943,2.68017752567551
