Model,k,NLL,AIC,BIC
mu,4,197.64273313273,403.285466265459,412.608399626605
mu_sig,5,197.167976725355,404.335953450709,415.989620152141
mu_xi,5,197.629522239246,405.259044478493,416.912711179925
mu_sig_xi,6,197.160483341157,406.320966682314,420.305366724032
stat,3,202.071015909781,410.142031819562,417.134231840421
xi,4,201.878011426465,411.756022852929,421.078956214074
sig,4,201.892474614551,411.784949229102,421.107882590248
sig_xi,5,201.605639398189,413.211278796379,424.86494549781
