Model,k,NLL,AIC,BIC
stat,3,258.356487496089,522.712974992179,529.415294505971
sig,4,258.259125122799,524.518250245598,533.454676263987
xi,4,258.326532596779,524.653065193558,533.589491211947
mu,4,258.350075348972,524.700150697943,533.636576716332
mu_sig,5,258.20129386131,526.402587722621,537.573120245607
sig_xi,5,258.223293813587,526.446587627175,537.617120150161
mu_xi,5,258.312674822024,526.625349644048,537.795882167034
mu_sig_xi,6,258.137902869088,528.275805738176,541.680444765759
