Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,31.9377479631217,42.4459872824955,50.5615769127288,59.3454469567946,72.372997855754,52.9130476653286,91.8329480461795,9.92872845823854
mu_sig,32.6378459777247,44.2096205285435,53.1579499222879,62.8528360455433,77.2478275003239,48.8752955287985,105.620359471849,14.4760476188972
mu_sig_xi,32.7866904790267,43.8014516541356,51.8345939898619,60.1461093251367,71.8614154736897,36.7879170467678,106.934913900612,17.8949708788413
mu_xi,32.024976547446,42.1030312452567,49.5631475307464,57.3724808506187,68.5260089065409,38.2368826317294,98.8151351813523,15.4539198238989
sig,31.9437365302278,43.2223199839656,51.9484021822179,61.4063214213387,75.4558847131687,50.1352354374231,100.776533988914,12.9189359985549
sig_xi,31.9347633262575,42.7814758530005,50.8184681183455,59.2381785151954,71.2739479591516,35.9126703783633,106.63522553994,18.0417996757663
stat,31.7572075651152,42.2704076498701,50.3980666815285,59.2020333270843,72.2711958192024,52.8013180642303,91.7410735741745,9.93379363526473
xi,31.754625502812,41.8921829209471,49.4435202892588,57.3873828561743,68.7963213398481,37.8757946325933,99.7168480471029,15.7760688212396
