Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,31.8556882889054,33.576680674076,34.4905834778815,35.2294461382219,36.0194130693855,34.7636461871078,37.2751799516631,0.640709162098374
mu_sig,31.8438716822683,33.6744162541173,34.6464267590857,35.4322253634874,36.2723242120216,34.5768690312196,37.9677793928236,0.865044048857803
mu_sig_xi,31.865452370359,33.6872757183421,34.6454423290045,35.4143644610159,36.2297113912393,34.2800445657146,38.1793782167639,0.994746250902246
mu_xi,31.7861727198466,33.5568414171094,34.5225263961165,35.3194567373537,36.1912200872946,34.2354335181922,38.1470066563971,0.997868626428569
sig,29.4807974651488,32.4731989403876,33.7956903160555,34.7246290056599,35.5744684221118,34.5085142769181,36.6404225673055,0.543864149342462
sig_xi,29.4885555140756,32.1756054538933,33.8348045635237,35.342203026533,37.1780460366054,32.3587867131308,41.99730536008,2.45885095924635
stat,29.3699724761182,31.5652641759832,32.7892961453875,33.8168107883571,34.9623915361053,33.5136048904391,36.4111781817714,0.739190442831615
xi,29.471457962242,31.997636389799,33.8179449905181,35.6836166485628,38.2854525587547,33.1241178977228,43.4467872197866,2.63338239975013
