Model,k,NLL,AIC,BIC
mu,4,158.509973864217,325.019947728434,334.342881089579
mu_sig,5,158.339435284428,326.678870568856,338.332537270287
mu_xi,5,158.471976770391,326.943953540781,338.597620242213
mu_sig_xi,6,158.336586585078,328.673173170156,342.657573211874
xi,4,170.804269492596,349.608538985193,358.931472346338
sig_xi,5,170.637063391711,351.274126783422,362.927793484854
sig,4,171.685926169685,351.371852339369,360.694785700515
stat,3,175.131059935672,356.262119871345,363.254319892204
