Model,k,NLL,AIC,BIC
sig,4,252.233924861254,512.467849722507,521.345880543212
sig_xi,5,251.560060385898,513.120120771797,524.217659297677
mu_sig,5,251.677992973204,513.355985946408,524.453524472289
mu_sig_xi,6,251.39486415623,514.78972831246,528.106774543516
stat,3,262.375514349138,530.751028698276,537.409551813804
mu,4,261.758439009572,531.516878019144,540.394908839848
xi,4,262.007266768692,532.014533537384,540.892564358089
mu_xi,5,261.417201112923,532.834402225847,543.931940751727
