Model,z2,z5,z10,z20,z50,z50_lower,z50_upper,z50_se
mu,33.6685561564406,44.3670863295882,50.9968897993974,57.0369011574216,64.4159050296133,47.9948904717935,80.8369195874331,8.3782226037553
mu_sig,29.9738584714918,33.4724796147477,35.6078652536036,37.5304618991058,39.8484384334922,32.5867120404368,47.1101648265476,3.7050305262418
mu_sig_xi,29.5198637429924,33.3560041706062,36.0051126496135,38.6312241278651,42.1585972671845,29.8657684649714,54.4514260693976,6.2719666785601
mu_xi,32.6083073872042,41.2676039597655,45.575532363991,48.8880450764512,52.2377418937772,31.7873258894259,72.6881578981285,10.4340774451274
sig,29.0087104584452,32.311443906455,34.2957692329165,36.0606519303639,38.159571765371,32.5655235426353,43.7536199881067,2.8541586819252
sig_xi,28.8752740568807,32.6655649654594,35.3834107271913,38.1582960566073,42.0113686331362,29.3151986103737,54.7075386558987,6.47775679701682
stat,30.647330258122,41.1597151339619,47.1432550393479,52.2468276657259,58.0388847361693,50.6810633163287,65.39670615601,3.75405950205116
xi,29.9004615977804,38.9124194293541,43.2358977244748,46.4691449625893,49.6393534908468,33.8832983769298,65.3954086047638,8.03895134716696
